"Plot_Number","Rice_Cultivar","Experiment_Name","Nitrogen_Rate","Replicate","Yield","Heading_100","Thermal","NDWI","EVI","NAVI","GNDVI","Cigreen","RENDVI","TGI","SAVI","CI_RedEdge","BI","SCI","GLI","NGRDI","SI","VARI","HUE","BGI","PSRI","RVI","TVI","CVI","NDVI","DVI","NRCT","Vegetation_Fraction","contrast_90","dissimilarity_90","homogeneity_90","ASM_90","energy_90","correlation_90"
"35856","XP753","Mini_Core",130,"4",21.82125404,75,31.2155399,-0.6308232,0.6031039,0.8241875,0.6308232,3.4373279,0.3179245,5.0158005,0.293843,0.9356031,0.0859789,-0.127694,0.2652226,0.127694,0.3326086,0.1630686,-0.0002605,0.3881715,-0.0984089,5.7577739,25.5328083,3.4427798,0.701433,0.2391127,0.16744316,1,51.54787234,5.664893617,0.157817482,0.002624208,0.051227022,0.749949287
"35194","Charleston Gold","Santee_Gold",150,"3",9.985754578,85,31.9951382,-0.6674594,0.4942414,0.8193712,0.6674594,4.144618,0.3029735,3.4783583,0.2448088,0.8778511,0.0658638,-0.0547004,0.2316405,0.0547004,0.4378775,0.0672607,-7.57e-05,0.3504582,-0.0371357,5.7796688,19.8613472,4.630332,0.695583,0.1831053,0.236891122,1,16.49418605,3.174418605,0.265625212,0.003790055,0.061563426,0.95201763
"35825","EMBRAPA 1200","Mini_Core",130,"2",8.027032471,89,31.1822357,-0.693554,0.6342447,0.8932548,0.693554,4.7752633,0.4007322,4.3413768,0.2908427,1.3644799,0.0549066,-0.2787448,0.383946,0.2787448,0.2677007,0.3520307,-0.0002203,0.3247924,-0.177732,10.6527691,24.3040562,3.2135372,0.8094959,0.2440348,0.159986804,1,34.00483092,4.483091787,0.204574191,0.002987234,0.054655597,0.895885344
"35153","Carolina Gold","Santee_Gold",75,"1",6.297736087,88,34.4972534,-0.64631,0.6370875,0.926791,0.64631,3.7122428,0.3955502,5.1397982,0.2717841,1.3207661,0.050139,-0.5016714,0.5166174,0.5016714,0.0402184,0.6495887,-0.0002838,0.3063343,-0.3287131,14.656332,22.8051682,1.5514989,0.8643293,0.2114572,0.393757366,1,17.25798212,3.236270754,0.252750981,0.002985904,0.054643427,0.877381078
"35800","NIL 43","Inbred_Jeff + NIL",130,"3",8.069905797,83,35.7811241,-0.3360959,0.2019446,0.3864376,0.3360959,1.018543,0.1277983,3.0330677,0.1106892,0.2940484,0.2036955,0.1046046,0.0382557,-0.1046046,0.3319381,-0.1446214,0.0010615,0.6188501,0.1500628,1.6352556,7.6734538,2.4933527,0.2400733,0.0936944,0.429026545,0.018575851,88.5375817,7.782679739,0.109093727,0.001744788,0.041770664,0.700485584
"33810","IAC600","Tiara",200,"1",6.785265747,69,31.8633347,-0.5832402,0.3614844,0.786957,0.5832402,2.9178421,0.287191,2.3786638,0.1589331,0.8282673,0.0477878,-0.129972,0.2299572,0.129972,0.2313978,0.176732,-7.18e-05,0.4824123,-0.0994716,5.3413835,12.0659628,2.9899085,0.6549712,0.1105659,0.373864618,0.966101695,47.39202658,5.531561462,0.157888411,0.002654496,0.051521802,0.866417486
"33782","Scarlett","Tiara",75,"3",11.0812624,78,29.2402115,-0.7114938,0.1763896,0.9255908,0.7114938,4.9559631,0.5307341,0.6611525,0.070972,2.269748,0.0095515,-0.3896512,0.3539997,0.3896512,-0.079461,0.6060326,-6.3e-06,0.5160664,-0.3070752,13.6617498,4.8119025,2.61953,0.8616441,0.0563482,0.292897889,1,14.22383721,2.979651163,0.271640307,0.003232322,0.056853509,0.960098941
"35208","Santee Gold","Santee_Gold",200,"2",10.41019216,92,28.1909294,-0.8318476,0.230745,0.9739435,0.8318476,9.9342041,0.669845,0.5803084,0.0940562,4.0718699,0.0061073,-0.5576227,0.4902577,0.5576227,-0.1696025,0.8101453,-3.8e-06,0.4002025,-0.3322819,38.4975471,6.3150506,3.1100485,0.9492145,0.0829454,0.212986069,1,42.625323,5.219638243,0.177308713,0.002333594,0.048307284,0.848841605
"35753","XP753","Hybrid_XP753",130,"1",13.94596727,79,27.3486099,-0.8272342,0.1860663,0.9642913,0.8272342,9.9150047,0.6663039,0.4084298,0.075592,4.0814714,0.0051296,-0.4578128,0.4061996,0.4578128,-0.1188933,0.6988936,-2.2e-06,0.473036,-0.2940487,29.5862274,4.9921861,4.040132,0.9312526,0.066585,0.148836224,1,33.7120743,4.452012384,0.199685952,0.002475342,0.049752813,0.832128883
"35217","Charleston Gold","Santee_Gold",200,"3",7.94960129,87,34.5417862,-0.8768045,0.8859621,0.9824607,0.8768045,14.2670984,0.7006748,2.2076116,0.3874663,4.6879034,0.0225536,-0.5784158,0.5071676,0.5784158,-0.1830883,0.8329024,-5.3e-05,0.3869723,-0.2732895,57.2638092,32.7846413,4.0813532,0.9655287,0.4437905,0.142321931,1,34.26453488,4.64244186,0.186848054,0.002940779,0.054228948,0.840946072
